,author_average_rating,author_gender,author_name,author_rating_count,book_average_rating,book_title,genre_1,num_ratings,pages,publish_date,score
607,3.95,female,"Katherine Paterson
",462658,3.99,"
      Bridge to Terabithia
",Uncategorized,389115,128,1977,16100
612,4.02,female,"Madeleine L'Engle
",1235231,4.02,"
      A Wrinkle in Time
",Fantasy,832932,211,1962,29378
625,3.68,female,"Ellen Wittlinger
",21451,3.74,"
      Hard Love
",Uncategorized,6750,256,1999,2867
657,3.81,male,"Alice Hoffman
",503487,3.68,"
      Here on Earth
",Romance,42500,336,1997,1799
664,3.95,female,"Angela Carter
",81406,3.87,"
      The Magic Toyshop
",Fantasy,7503,200,1967,2320
671,3.82,female,"Chitra Banerjee Divakaruni
",85694,3.48,"
      The Mistress of Spices
",Fantasy,11505,338,1997,2791
672,4.03,male,"Hermann Hesse
",785921,4.12,"
      Steppenwolf
",Classics,112713,218,1927,2808
676,4.01,male,"Jorge Amado
",38728,4.01,"
      Dona Flor and Her Two Husbands
",Fantasy,6005,576,1966,3671
679,4.01,male,"John     Nichols
",11376,4.09,"
      The Milagro Beanfield War
",Fantasy,9116,456,1974,4373
686,3.77,male,"Rudolfo Anaya
",28296,3.76,"
      Bless Me, Ultima
",Classics,23687,290,1972,6084
689,4.04,male,"Italo Calvino
",234920,4.07,"
      If on a Winter's Night a Traveler
",Classics,62854,260,1979,6590
698,4.32,male,"Jorge Luis Borges
",200780,4.46,"
      Ficciones
",Short Stories,40985,174,1944,13956
700,4.25,male,"Mikhail Bulgakov
",272100,4.31,"
      The Master and Margarita
",Classics,193232,373,1967,34430
743,3.95,male,"Sharon Creech
",275264,3.96,"
      Walk Two Moons
",Uncategorized,139784,280,1994,3104
744,4.0,male,"Anthony Burgess
",580321,3.99,"
      A Clockwork Orange
",Classics,518852,212,1962,3201
746,3.84,male,"Thomas Hardy
",541230,3.79,"
      Tess of the D'Urbervilles
",Classics,214977,518,1891,3509
747,3.88,male,"Charles Dickens
",2786122,3.83,"
      A Tale of Two Cities
",Classics,732997,489,1859,3576
748,3.86,male,"Ralph Ellison
",145526,3.85,"
      Invisible Man
",Classics,140247,581,1952,3655
752,4.02,female,"Ellen Raskin
",144625,4.03,"
      The Westing Game
",Thriller,140348,182,1978,4067
753,3.92,female,"Zora Neale Hurston
",256404,3.89,"
      Their Eyes Were Watching God
",Classics,223561,219,1937,4132
757,3.68,male,"Gustave Flaubert
",252549,3.66,"
      Madame Bovary
",Classics,213200,329,1856,4360
758,3.92,male,"John Steinbeck
",3248145,3.94,"
      The Grapes of Wrath
",Classics,629588,479,1939,4441
759,3.86,male,"Mark Twain
",2161241,3.9,"
      The Adventures of Tom Sawyer
",Classics,666000,244,1876,4525
760,3.5,male,"Joseph Conrad
",502016,3.42,"
      Heart of Darkness
",Classics,353661,188,1899,4688
764,4.27,male,"Diana Gabaldon
",2019126,4.22,"
      Outlander
",Historical,688076,850,1991,5391
765,3.66,male,"Chinua Achebe
",269688,3.64,"
      Things Fall Apart
",Classics,244739,209,1958,5449
767,4.19,male,"Ken Kesey
",575426,4.19,"
      One Flew Over the Cuckoo's Nest
",Classics,549384,325,1962,6015
768,3.83,male,"Ernest Hemingway
",1797836,3.75,"
      The Old Man and the Sea
",Classics,681896,132,1952,6093
771,4.01,male,"Philip Pullman
",1992793,3.96,"
      The Golden Compass
",Fantasy,1111103,399,1995,6646
772,4.04,male,"Richard  Adams
",361729,4.07,"
      Watership Down
",Classics,335226,478,1972,6741
773,4.18,male,"Fyodor Dostoyevsky
",1217996,4.2,"
      Crime and Punishment
",Classics,519104,671,1866,6963
774,3.99,male,"Albert Camus
",876454,3.97,"
      The Stranger
",Classics,570354,123,1942,7335
780,3.78,female,"Mary Wollstonecraft Shelley
",1022568,3.77,"
      Frankenstein
",Classics,994507,273,1818,9783
781,4.11,male,"Daniel Keyes
",422809,4.1,"
      Flowers for Algernon
",Classics,400845,311,1966,10827
789,4.05,male,"George Orwell
",5116553,3.91,"
      Animal Farm
",Classics,2280163,122,1945,21141
791,3.83,male,"J.D. Salinger
",2736627,3.8,"
      The Catcher in the Rye
",Classics,2376828,277,1951,23079
793,3.66,male,"William Golding
",1886598,3.66,"
      Lord of the Flies
",Classics,1870928,182,1954,23831
795,4.06,female,"S.E. Hinton
",849194,4.08,"
      The Outsiders
",Classics,784441,192,1967,26757
796,3.89,male,"F. Scott Fitzgerald
",3527100,3.91,"
      The Great Gatsby
",Classics,3202899,180,1925,32216
798,3.92,male,"Wilkie Collins
",222740,3.99,"
      The Woman in White
",Classics,116465,672,1859,3305
799,4.18,male,"Peter Tremayne
",61038,3.86,"
      Absolution by Murder
",Thriller,4173,272,1994,3412
807,4.01,male,"Margaret Frazer
",20609,3.87,"
      The Novice's Tale
",Thriller,3247,229,1992,4262
808,4.41,female,"Dorothy Dunnett
",43251,4.2,"
      The Game of Kings
",Historical,6675,543,1961,4299
819,4.04,male,"Bruce Alexander
",10613,4.03,"
      Blind Justice
",Thriller,3298,336,1994,4815
820,4.09,male,"Kate Ross
",10097,4.0,"
      Cut to the Quick
",Thriller,3811,337,1993,4997
822,4.22,female,"Sharon Kay Penman
",111330,3.88,"
      The Queen's Man
",Historical,5606,288,1996,5194
829,3.92,male,"Steven Saylor
",79041,3.94,"
      Roman Blood
",Historical,6075,401,1991,6423
831,3.94,male,"Charles Todd
",143891,3.89,"
      A Test of Wills
",Thriller,12292,305,1994,7309
842,3.83,male,"Iain Pears
",45465,3.94,"
      An Instance of the Fingerpost
",Historical,20083,691,1997,16856
845,3.95,female,"Josephine Tey
",59797,3.94,"
      The Daughter of Time
",Thriller,20279,206,1949,26856
854,3.87,male,"Judith Guest
",18355,3.9,"
      Ordinary People
",Classics,17104,263,1976,2457
855,3.8,male,"John Updike
",244497,3.8,"
      Rabbit Redux
",Classics,12797,440,1971,2523
878,4.13,male,"James A. Michener
",275680,4.3,"
      The Source
",Historical,35992,1104,1965,17162
881,4.16,female,"M.M. Kaye
",63288,4.21,"
      The Far Pavilions
",Historical,37435,958,1978,19694
884,4.31,male,"Patrick O'Brian
",239403,4.7,"
      The Complete Aubrey/Maturin Novels 5 Volumes
",Historical,1268,6576,1994,21766
885,4.05,male,"Edward Rutherfurd
",141650,4.07,"
      London
",Historical,23602,1152,1997,21859
886,3.94,male,"John Fowles
",143385,3.86,"
      The French Lieutenant's Woman
",Classics,42711,470,1969,24326
887,3.98,female,"Kathleen Winsor
",16051,3.99,"
      Forever Amber
",Historical,15597,972,1944,24366
890,4.29,male,"James Clavell
",265892,4.26,"
      Tai-Pan
",Historical,40305,734,1966,26029
894,3.74,male,"Walter Scott
",108531,3.75,"
      Ivanhoe
",Classics,77734,544,1819,28497
897,4.09,male,"Irving Stone
",112357,4.07,"
      The Agony and the Ecstasy
",Historical,71848,776,1958,33776
900,4.07,female,"Donna Woolfolk Cross
",60705,4.07,"
      Pope Joan
",Historical,60648,422,1996,35121
902,4.22,male,"Leon Uris
",192729,4.34,"
      Exodus
",Historical,85052,608,1958,42463
903,4.05,female,"Anya Seton
",48572,4.18,"
      Katherine
",Historical,26581,500,1954,43461
904,3.8,male,"Michael Ondaatje
",201657,3.88,"
      The English Patient
",Historical,101563,320,1992,44032
905,4.13,male,"Robert Graves
",131781,4.27,"
      I, Claudius
",Historical,47209,468,1934,62835
906,4.16,male,"Alexandre Dumas
",1093002,4.07,"
      The Three Musketeers
",Classics,244006,625,1844,67770
907,3.82,male,"Charles Frazier
",233764,3.85,"
      Cold Mountain
",Historical,204633,356,1997,71200
909,4.09,female,"Anita Diamant
",576767,4.17,"
      The Red Tent
",Historical,474452,336,1997,175105
911,3.86,male,"Harriet Beecher Stowe
",181591,3.85,"
      Uncle Tom's Cabin
",Classics,174527,438,1852,154366
912,4.04,male,"Erich Maria Remarque
",401395,3.95,"
      All Quiet on the Western Front
",Classics,315329,296,1929,155819
913,4.04,male,"Leo Tolstoy
",1001369,4.1,"
      War and Peace
",Classics,230116,1392,1867,165568
915,3.88,male,"Vladimir Nabokov
",1004318,3.89,"
      Lolita
",Classics,574161,417,1955,198261
916,3.96,male,"Joseph Heller
",668328,3.98,"
      Catch-22
",Classics,647614,453,1961,242647
920,4.06,male,"Lewis Carroll
",1123609,4.07,"
      Alice's Adventures in Wonderland  Through the Looking-Glass
",Classics,414440,239,1872,489613
927,4.2,male,"Norton Juster
",223165,4.21,"
      The Phantom Tollbooth
",Fantasy,211144,256,1961,160113
934,4.02,male,"Peter Straub
",383918,3.95,"
      Ghost Story
",Horror,62016,567,1979,2819
935,3.85,female,"Mildred D. Taylor
",123186,3.81,"
      Roll of Thunder, Hear My Cry
",Historical,104338,288,1976,2917
936,3.82,male,"Sidney Sheldon
",527886,3.91,"
      The Other Side of Midnight
",Thriller,39767,462,1973,2917
937,4.28,male,"Herman Wouk
",118584,4.4,"
      War and Remembrance
",Historical,30319,1042,1978,2921
938,4.08,male,"Chaim Potok
",148790,4.2,"
      My Name Is Asher Lev
",Classics,33231,369,1972,2967
941,3.96,male,"Terry Brooks
",726589,3.76,"
      The Sword of Shannara
",Fantasy,74977,726,1977,3149
942,4.16,male,"Wallace Stegner
",110717,4.27,"
      Angle of Repose
",Historical,46733,569,1971,3228
945,4.04,female,"Susan Cooper
",204385,4.07,"
      The Dark Is Rising
",Fantasy,47534,272,1973,3442
946,4.01,male,"Jeffrey Archer
",647044,4.28,"
      Kane and Abel
",Historical,88144,592,1979,3892
955,3.85,male,"Thomas Pynchon
",189399,4.03,"
      Gravity's Rainbow
",Classics,31302,776,1973,4509
957,4.07,male,"Frederick Forsyth
",289269,4.26,"
      The Day of the Jackal
",Thriller,99122,384,1971,5804
960,4.31,male,"Michael Shaara
",72338,4.31,"
      The Killer Angels
",Historical,68882,345,1974,5898
962,3.77,male,"E.L. Doctorow
",93615,3.88,"
      Ragtime
",Historical,33897,320,1975,6256
963,3.82,female,"Iris Murdoch
",60037,3.94,"
      The Black Prince
",Classics,3672,408,1973,6594
967,4.12,male,"William Peter Blatty
",168043,4.16,"
      The Exorcist
",Horror,153780,385,1971,7827
969,4.03,male,"Hunter S. Thompson
",438903,4.08,"
      Fear and Loathing in Las Vegas
",Classics,267757,204,1971,9427
1017,3.99,female,"Patricia A. McKillip
",133279,4.23,"
      Riddle-Master
",Fantasy,9614,578,1976,348
1022,4.05,male,"Rand Miller
",12442,4.31,"
      The Myst Reader: Three Books in One Volume
",Fantasy,1117,944,1995,388
1024,3.82,male,"Mervyn Peake
",305200,3.99,"
      The Gormenghast Novels
",Fantasy,7731,1173,1959,421
1031,3.99,male,"Robert Ludlum
",944028,4.26,"
      The Bourne Trilogy
",Thriller,2743,1408,1991,618
1036,4.11,male,"John Galsworthy
",30298,4.16,"
      The Forsyte Saga
",Classics,17155,872,1921,1018
1043,4.2,male,"Arthur Conan Doyle
",1622675,4.5,"
      The Complete Sherlock Holmes
",Classics,140102,1796,1927,9882
1138,3.77,male,"Gary Paulsen
",419982,4.0,"
      Brian's Winter
",Uncategorized,22676,144,1996,1371
1148,4.42,male,"Alex Haley
",144335,4.43,"
      Roots: The Saga of an American Family
",Historical,133070,729,1976,2223
1152,3.53,male,"Herman Melville
",534744,3.48,"
      Moby-Dick, or, the Whale
",Classics,436372,720,1851,3413
1153,3.96,female,"Anna Sewell
",220878,3.95,"
      Black Beauty
",Classics,211784,226,1877,4046
1154,4.16,male,"Dalton Trumbo
",31018,4.17,"
      Johnny Got His Gun
",Classics,30813,309,1939,4052
1155,3.92,male,"Johann David Wyss
",91508,3.92,"
      The Swiss Family Robinson
",Classics,90000,352,1812,4460
1159,4.12,male,"William Styron
",114383,4.19,"
      Sophie's Choice
",Classics,76291,562,1979,5638
1163,3.92,female,"Jean Craighead George
",146931,4.05,"
      My Side of the Mountain
",Young,55676,192,1959,9412
1176,4.08,female,"Catherine Anderson
",107508,4.05,"
      Baby Love
",Romance,6269,420,1999,1611
1206,3.96,male,"William H. Armstrong
",26674,3.96,"
      Sounder
",Historical,26184,128,1969,1729
1225,4.0,male,"Marjorie Kinnan Rawlings
",27265,3.99,"
      The Yearling
",Classics,24170,513,1938,2843
1235,4.07,male,"Fred Gipson
",79393,4.07,"
      Old Yeller
",Classics,77611,132,1956,5225
1243,4.06,male,"Wilson Rawls
",316140,4.06,"
      Where the Red Fern Grows
",Classics,304205,272,1961,15495
1245,4.25,male,"Andrzej Sapkowski
",314856,4.21,"
      The Last Wish
",Fantasy,81375,384,1993,8660
1246,3.99,male,"L.E. Modesitt Jr.
",186310,3.85,"
      The Magic of Recluce
",Fantasy,21187,501,1991,9484
1353,4.01,female,"Mercedes Lackey
",866474,4.24,"
      By the Sword
",Fantasy,18733,492,1991,17346
1355,4.01,male,"Sherwood Smith
",77560,4.19,"
      Crown Duel
",Fantasy,21401,471,1997,27773
1357,3.82,male,"Andre Dubus III
",134279,3.84,"
      House of Sand and Fog
",Contemporary,113669,365,1999,12604
1366,3.88,female,"Annie Proulx
",218879,3.85,"
      The Shipping News
",Contemporary,120513,337,1993,16693
1369,3.52,male,"Gregory Maguire
",836847,3.52,"
      Wicked: The Life and Times of the Wicked Witch of the West
",Fantasy,541861,406,1995,18960
1376,3.4,male,"Stephen Crane
",136170,3.22,"
      The Red Badge of Courage
",Classics,81028,170,1895,29471
1381,3.34,male,"Candace Bushnell
",206830,3.4,"
      Sex and the City
",Romance,46856,304,1996,48494
1384,3.82,female,"Virginia Woolf
",733134,3.77,"
      To the Lighthouse
",Classics,108695,209,1927,64931
1385,3.74,male,"James Joyce
",364783,3.61,"
      A Portrait of the Artist as a Young Man
",Classics,112454,329,1916,66258
1388,3.85,male,"William Faulkner
",457430,3.86,"
      The Sound and the Fury
",Classics,144446,326,1929,93077
1390,3.98,female,"Pearl S. Buck
",269435,3.98,"
      The Good Earth
",Classics,206962,418,1931,105299
1391,3.72,male,"Jack Kerouac
",517192,3.63,"
      On the Road
",Classics,304908,307,1955,116245
1394,4.11,male,"Guy Gavriel Kay
",180920,4.28,"
      The Lions of Al-Rassan
",Fantasy,17148,528,1995,9853
1400,4.03,male,"Elizabeth Haydon
",66565,3.95,"
      Rhapsody: Child of Blood
",Fantasy,17936,656,1999,13452
1407,4.05,male,"Elizabeth Moon
",161649,4.29,"
      The Deed of Paksenarrion
",Fantasy,11262,1040,1992,17285
1411,3.91,male,"Stephen R. Donaldson
",235435,3.79,"
      The Chronicles of Thomas Covenant, the Unbeliever
",Fantasy,13280,1160,1977,31013
1414,4.23,male,"Steven Erikson
",360775,3.87,"
      Gardens of the Moon
",Fantasy,74924,666,1999,90434
1423,3.88,male,"Jim Thompson
",59193,3.87,"
      The Killer Inside Me
",Thriller,16077,244,1952,8401
1427,3.92,male,"Irvine Welsh
",242409,4.09,"
      Trainspotting
",Contemporary,122706,344,1993,8457
1428,4.04,male,"W. Somerset Maugham
",170419,3.92,"
      The Painted Veil
",Classics,31221,246,1925,8927
1430,3.81,male,"Christopher Priest
",33568,3.88,"
      The Prestige
",Fantasy,15646,360,1995,12583
1431,3.57,male,"Robert James Waller
",78160,3.59,"
      The Bridges of Madison County
",Romance,70435,224,1992,12791
1432,3.74,male,"Ian Fleming
",258307,3.74,"
      Casino Royale
",Thriller,53740,181,1953,12854
1439,4.05,female,"P.L. Travers
",128379,4.04,"
      Mary Poppins
",Classics,99175,209,1934,21610
1440,3.7,male,"James Fenimore Cooper
",105290,3.7,"
      The Last of the Mohicans
",Classics,79657,410,1826,23610
1442,3.92,male,"Peter Benchley
",142375,3.97,"
      Jaws
",Horror,120703,320,1973,32192
1504,3.92,female,"Val McDermid
",145634,4.1,"
      A Place of Execution
",Thriller,8774,480,1999,9550
1506,3.82,female,"Mary Higgins Clark
",648195,4.02,"
      Where Are the Children?
",Thriller,40003,304,1975,10192
1507,3.83,male,"Henning Mankell
",261726,3.77,"
      Faceless Killers
",Thriller,57252,280,1991,10581
1508,4.06,female,"Dorothy L. Sayers
",283569,3.89,"
      Whose Body?
",Thriller,36620,212,1923,10796
1509,3.99,female,"Agatha Christie
",3123274,4.05,"
      Witness for the Prosecution and Selected Plays
",Thriller,3879,352,1995,10921
1511,3.92,male,"James M. Cain
",58665,3.8,"
      The Postman Always Rings Twice
",Classics,26729,116,1934,12421
1512,3.93,female,"Donna Tartt
",832587,4.09,"
      The Secret History
",Thriller,231413,559,1992,13335
1515,3.79,male,"David Guterson
",171229,3.83,"
      Snow Falling on Cedars
",Historical,153781,460,1994,15110
1516,4.13,male,"Michael Connelly
",1552220,4.09,"
      The Black Echo
",Thriller,130461,482,1992,15861
1517,3.95,male,"Dashiell Hammett
",155564,3.96,"
      The Thin Man
",Thriller,24072,201,1934,16658
1520,3.87,female,"Patricia Highsmith
",143396,3.94,"
      The Talented Mr. Ripley
",Thriller,44699,320,1955,21801
1523,4.07,male,"Lee Child
",1670898,4.05,"
      Killing Floor
",Thriller,209683,424,1997,25287
1524,3.89,male,"John Grisham
",4150641,3.98,"
      The Pelican Brief
",Thriller,326258,400,1992,27347
1526,3.84,male,"Robert Louis Stevenson
",942971,3.8,"
      The Strange Case of Dr. Jekyll and Mr. Hyde
",Classics,308996,144,1886,37381
1529,4.06,male,"Raymond Chandler
",239251,4.01,"
      The Big Sleep
",Thriller,103946,231,1939,46755
1531,4.25,male,"Mario Puzo
",366792,4.37,"
      The Godfather
",Classics,291466,448,1969,72922
1563,3.59,male,"D.H. Lawrence
",206430,3.5,"
      Lady Chatterley's Lover
",Classics,87014,364,1928,10690
1566,4.22,male,"Marcel Proust
",89870,4.14,"
      Swann's Way
",Classics,37156,468,1913,19461
1567,3.77,male,"William Makepeace Thackeray
",114042,3.78,"
      Vanity Fair
",Classics,107472,912,1848,19688
1568,3.69,male,"William S. Burroughs
",190407,3.45,"
      Naked Lunch
",Classics,66793,289,1959,22306
1572,4.14,male,"David Foster Wallace
",256136,4.3,"
      Infinite Jest
",Classics,64630,1088,1996,48988
1573,3.95,male,"Tim LaHaye
",545147,3.82,"
      Left Behind
",Religious,183533,342,1995,19376
1574,3.98,male,"Billie Letts
",255456,4.01,"
      Where the Heart Is
",Romance,220346,376,1995,35379
1576,3.79,female,"Rebecca Wells
",543432,3.8,"
      Divine Secrets of the Ya-Ya Sisterhood
",Romance,491565,383,1996,46797
1621,4.03,male,"Boris Pasternak
",74569,4.03,"
      Doctor Zhivago
",Classics,71351,592,1957,7979
1624,4.39,female,"Francine Rivers
",569464,4.49,"
      Redeeming Love
",Religious,180380,464,1991,11317
1625,4.01,female,"Elizabeth Gaskell
",244216,4.13,"
      North and South
",Classics,125974,521,1855,32032
1684,4.06,male,"John Marsden
",178222,4.05,"
      Tomorrow, When the War Began
",Uncategorized,44295,276,1993,10616
1705,4.05,male,"George MacDonald
",84420,4.01,"
      The Princess and the Goblin
",Fantasy,26134,241,1872,6837
1707,3.85,male,"Georges Bataille
",28896,3.7,"
      Story of the Eye
",Adult,12754,103,1928,5774
1749,4.07,male,"Dorothy Allison
",53744,4.1,"
      Bastard Out of Carolina
",Classics,35385,320,1992,5874
1750,4.02,male,"Hubert Selby Jr.
",73215,3.93,"
      Last Exit to Brooklyn
",Classics,19736,290,1964,6629
1751,3.83,male,"Jay Anson
",94219,3.84,"
      The Amityville Horror
",Horror,93383,315,1977,6694
1752,3.64,female,"A.M. Homes
",46767,3.61,"
      The End of Alice
",Horror,6200,272,1996,6977
1757,4.02,female,"Charlotte Perkins Gilman
",164423,4.04,"
      The Yellow Wallpaper and Other Stories
",Classics,72618,70,1892,14327
1815,4.13,male,"Hans Christian Andersen
",275872,4.28,"
      The Complete Fairy Tales
",Classics,116062,803,1835,8296
1818,4.1,female,"Elizabeth Marie Pope
",10795,4.09,"
      The Perilous Gard
",Fantasy,7530,280,1974,9327
1820,3.81,male,"Pamela Dean
",12161,3.85,"
      Tam Lin
",Fantasy,5130,468,1991,10691
1822,4.18,male,"Jacob Grimm
",266851,4.31,"
      The Complete Grimm's Fairy Tales
",Classics,133803,880,1812,17589
1962,3.67,male,"Kingsley Amis
",39908,3.78,"
      Lucky Jim
",Classics,22397,251,1954,4838
1967,3.87,male,"Stella Gibbons
",41613,3.91,"
      Cold Comfort Farm
",Classics,36972,233,1932,7752
1973,3.89,male,"Jerome K. Jerome
",61333,3.9,"
      Three Men in a Boat
",Classics,46353,185,1889,21294
1976,3.94,male,"Thomas Mann
",131657,4.14,"
      The Magic Mountain
",Classics,29166,706,1924,8499
1980,3.83,female,"George Eliot
",307598,3.95,"
      Middlemarch
",Classics,122016,904,1871,20262
2059,3.9,female,"Amanda Quick
",219050,4.01,"
      Ravished
",Romance,14506,385,1992,5849
2060,3.91,female,"Georgette Heyer
",333257,4.2,"
      Devil's Cub
",Romance,11884,288,1932,6038
2063,4.03,female,"Kathleen E. Woodiwiss
",89237,4.17,"
      Ashes in the Wind
",Romance,8449,664,1979,10336
2064,3.93,female,"Laura Kinsale
",32071,4.1,"
      Flowers from the Storm
",Romance,11973,533,1992,16964
2067,3.91,male,"Ivan Turgenev
",105381,3.95,"
      Fathers and Sons
",Classics,56725,244,1862,8317
2073,3.63,male,"Henry James
",301393,3.77,"
      The Portrait of a Lady
",Classics,64640,797,1881,9941
2074,4.05,male,"Nikolai Gogol
",178977,3.99,"
      Dead Souls
",Classics,54437,512,1842,12057
2077,3.71,female,"Kate Chopin
",198758,3.64,"
      The Awakening
",Classics,154889,195,1899,14022
2090,3.99,male,"Jim Harrison
",41162,4.06,"
      Legends of the Fall
",Historical,8096,288,1979,33998
2092,4.09,male,"Catherine Ryan Hyde
",209326,4.17,"
      Pay It Forward
",Contemporary,21677,311,1999,40250
2094,4.1,male,"Robert Bloch
",136883,4.11,"
      Psycho
",Horror,45447,208,1959,47895
2099,4.1,male,"Felix Salten
",34064,4.11,"
      Bambi
",Classics,31101,192,1923,92626
2148,3.66,female,"Anita Loos
",3872,3.64,"
      Gentlemen Prefer Blondes
",Classics,2253,165,1925,5113
2164,3.83,male,"James Herbert
",113253,3.94,"
      The Rats
",Horror,14586,208,1974,3459
2167,3.94,male,"Thomas Tryon
",26130,3.88,"
      Harvest Home
",Horror,5928,401,1973,3978
2168,4.0,male,"Douglas Preston
",684091,4.02,"
      Relic
",Horror,82813,480,1995,4011
2170,3.93,male,"Ira Levin
",172983,3.74,"
      The Stepford Wives
",Horror,24538,144,1972,6575
2171,4.0,male,"David Seltzer
",55459,4.0,"
      The Omen
",Horror,55088,272,1976,7424
2173,3.98,female,"Shirley Jackson
",317191,4.02,"
      We Have Always Lived in the Castle
",Horror,77934,146,1962,12842
2274,4.02,female,"Dodie Smith
",108606,4.0,"
      I Capture the Castle
",Classics,73456,343,1948,4434
2320,3.59,female,"Jane Green
",538595,3.43,"
      Mr. Maybe
",Romance,86224,368,1999,7069
2324,3.78,female,"Vivian Vande Velde
",49962,3.94,"
      Dragon's Bait
",Fantasy,7041,196,1992,2504
2337,3.93,male,"Alan Lightman
",38029,4.08,"
      Einstein's Dreams
",Short Stories,27455,144,1992,3458
2352,3.49,female,"Alexandra Ripley
",53419,3.44,"
      Scarlett
",Historical,44431,896,1991,9000
2415,4.05,female,"Mary Downing Hahn
",95689,3.75,"
      Look for Me by Moonlight
",Horror,3198,181,1995,1801
2449,4.01,male,"William Diehl
",13854,4.2,"
      Primal Fear
",Thriller,8103,399,1992,3388
2548,4.18,female,"Flannery O'Connor
",146429,4.24,"
      A Good Man is Hard to Find and Other Stories
",Short Stories,34442,252,1953,4926
