,author_average_rating,author_gender,author_name,book_average_rating,book_title,genre_1,pages,publish_date,score
122,3.97,male,"Max Brooks
",4.01,"
      World War Z: An Oral History of the Zombie War
",Horror,342,2006,90544
125,3.69,female,"Alyson Noel
",3.59,"
      Evermore
",Young,301,2009,13084
126,3.64,male,"Stephenie Meyer
",3.79,"
      The Twilight Collection
",Young,1690,2007,13897
127,3.91,female,"Cornelia Funke
",3.96,"
      Dragon Rider
",Fantasy,527,1997,15248
128,4.45,female,"J.K. Rowling
",4.74,"
      Harry Potter Series Box Set
",Fantasy,4100,2007,15445
129,4.13,female,"Daphne du Maurier
",4.22,"
      Rebecca
",Classics,449,1938,15851
130,4.0,male,"Janet Evanovich
",3.99,"
      Finger Lickin' Fifteen
",Thriller,308,2009,16363
131,3.97,male,"James Patterson
",4.15,"
      School's Out—Forever
",Young,409,2006,17846
132,3.82,female,"Melissa de la Cruz
",3.95,"
      The Van Alen Legacy
",Horror,369,2009,18890
133,4.11,female,"Jane Austen
",4.55,"
      The Complete Novels
",Romance,1344,1813,19609
134,3.97,female,"Jodi Picoult
",3.97,"
      Handle with Care
",Uncategorized,453,2009,21020
135,3.42,female,"Kate Jacobs
",3.42,"
      The Friday Night Knitting Club
",Uncategorized,352,2006,22134
136,4.04,female,"Louisa May Alcott
",4.05,"
      Little Women
",Classics,449,1868,22491
138,4.04,female,"Tatiana de Rosnay
",4.15,"
      Sarah's Key
",Historical,294,2006,23521
139,4.25,female,"Betty  Smith
",4.25,"
      A Tree Grows in Brooklyn
",Classics,496,1943,23554
140,4.03,female,"Sylvia Plath
",3.99,"
      The Bell Jar
",Classics,294,1963,29714
142,3.9,female,"Amy Tan
",3.91,"
      The Joy Luck Club
",Uncategorized,288,1989,30751
143,3.72,male,"Bernhard Schlink
",3.74,"
      The Reader
",Uncategorized,216,1995,32634
144,3.76,male,"Melissa Marr
",3.69,"
      Wicked Lovely
",Fantasy,328,2007,34825
145,3.95,male,"Christopher Paolini
",3.97,"
      Eldest
",Fantasy,704,2005,34913
147,3.79,male,"Jerry Spinelli
",3.75,"
      Stargirl
",Young,186,2000,37296
149,4.32,male,"J.R.R. Tolkien
",4.52,"
      The Return of the King
",Fantasy,490,1955,40399
150,3.81,male,"Dan Brown
",3.69,"
      The Lost Symbol
",Uncategorized,509,2009,42433
151,3.94,female,"P.C. Cast
",3.8,"
      Marked
",Young,306,2007,46009
152,4.27,female,"Richelle Mead
",4.35,"
      Blood Promise
",Young,503,2009,50053
154,4.19,male,"Ken Follett
",4.3,"
      The Pillars of the Earth
",Historical,973,1989,53864
155,3.9,female,"Philippa Gregory
",4.05,"
      The Other Boleyn Girl
",Historical,661,2001,58143
156,3.53,male,"Seth Grahame-Smith
",3.29,"
      Pride and Prejudice and Zombies
",Uncategorized,320,2009,59068
157,3.64,female,"Kim Edwards
",3.65,"
      The Memory Keeper's Daughter
",Uncategorized,401,2005,59305
159,4.02,female,"Jennifer Ashley
",4.05,"
      The Madness of Lord Ian Mackenzie
",Romance,320,2009,8075
160,4.19,male,"Nalini Singh
",4.12,"
      Slave to Sensation
",Romance,334,2006,8480
161,4.16,female,"Gena Showalter
",4.08,"
      The Darkest Night
",Fantasy,379,2008,8942
162,4.1,female,"Katie McGarry
",4.07,"
      Pushing the Limits
",Young,392,2012,8947
163,4.03,female,"Susan Elizabeth Phillips
",4.12,"
      This Heart of Mine
",Romance,432,2001,8951
164,3.71,male,"Helen Fielding
",3.76,"
      Bridget Jones's Diary
",Romance,288,1995,9751
165,3.99,female,"Julie James
",3.98,"
      Practice Makes Perfect
",Romance,291,2009,9801
166,4.07,female,"J. Lynn
",4.18,"
      Wait for You
",Young,332,2013,9889
168,4.3,female,"J.R. Ward
",4.35,"
      Lover Eternal
",Romance,441,2005,10001
169,3.99,male,"Elizabeth Reyes
",3.87,"
      Forever Mine
",Romance,334,2010,10265
170,4.29,female,"Kristen Ashley
",4.19,"
      Rock Chick
",Romance,412,2008,10379
171,4.14,female,"Abbi Glines
",4.2,"
      Fallen Too Far
",Romance,300,2012,10601
172,4.12,male,"R.L. Mathewson
",4.07,"
      Playing for Keeps
",Romance,220,2011,11009
173,4.07,female,"Alice Clayton
",4.08,"
      Wallbanger
",Contemporary,384,2012,11237
174,3.8,female,"Jennifer Crusie
",3.93,"
      Bet Me
",Romance,391,2004,11704
175,3.74,female,"Sophie Kinsella
",3.83,"
      Can You Keep a Secret?
",Romance,374,2001,11946
176,4.29,male,"J.D. Robb
",4.12,"
      Naked in Death
",Thriller,306,1995,12331
178,4.11,female,"Julie Garwood
",4.26,"
      The Bride
",Romance,352,1989,14434
179,4.09,male,"Jenny Han
",3.94,"
      The Summer I Turned Pretty
",Young,276,2009,15977
180,4.18,female,"Shelly Crane
",4.12,"
      Significance
",Fantasy,387,nan,17211
181,4.16,female,"Judith McNaught
",4.24,"
      A Kingdom of Dreams
",Romance,438,1989,17327
183,4.03,female,"Jessica Park
",4.0,"
      Flat-Out Love
",Romance,389,2011,21201
184,4.27,male,"Rebecca Donovan
",4.22,"
      Reason to Breathe
",Romance,377,2011,23825
185,4.13,female,"Paullina Simons
",4.32,"
      The Bronze Horseman
",Historical,637,2001,23834
186,4.1,male,"Arthur Golden
",4.1,"
      Memoirs of a Geisha
",Uncategorized,503,1997,28285
187,4.26,male,"Colleen Hoover
",4.31,"
      Hopeless
",Romance,410,2012,28947
188,4.08,female,"Tracey Garvis Graves
",4.13,"
      On the Island
",Romance,346,2011,30347
189,4.07,male,"Nicholas Sparks
",4.16,"
      A Walk to Remember
",Romance,215,1999,45393
190,4.06,female,"Becca Fitzpatrick
",3.99,"
      Hush, Hush
",Young,391,2009,46255
191,4.29,female,"Margaret Mitchell
",4.29,"
      Gone with the Wind
",Classics,1037,1936,62047
192,4.12,male,"Sylvain Reynard
",4.01,"
      Gabriel's Inferno
",Romance,506,2011,64413
193,4.04,male,"Tammara Webber
",4.1,"
      Easy
",Romance,336,2012,68003
194,4.15,female,"Sylvia Day
",4.19,"
      Bared to You
",Romance,334,2012,78359
195,3.77,male,"E.L. James
",3.66,"
      Fifty Shades of Grey
",Romance,356,2011,230045
198,3.53,female,"Kristin Halbrook
",3.46,"
      Nobody But Us
",Young,272,2013,8053
199,3.81,male,"Ellen Oh
",3.45,"
      Prophecy
",Fantasy,316,2013,8080
201,4.09,male,"Jennifer Anne Davis
",4.27,"
      The Voice
",Young,288,2013,8304
202,3.55,female,"April Genevieve Tucholke
",3.57,"
      Between the Devil and the Deep Blue Sea
",Young,360,2013,10463
203,3.85,male,"Claudia Gray
",3.62,"
      Spellcaster
",Young,389,2013,10692
204,3.94,female,"Lisa McMann
",3.78,"
      Crash
",Young,233,2013,11001
205,3.89,female,"Kiersten White
",3.6,"
      The Chaos of Stars
",Fantasy,277,2013,11016
206,4.02,female,"Andrea Cremer
",3.43,"
      Invisibility
",Young,358,2013,11018
207,4.07,female,"Brigid Kemmerer
",4.01,"
      Spirit
",Young,301,2013,11026
208,3.82,female,"Kami Garcia
",3.79,"
      Unbreakable
",Young,305,2013,11082
210,3.94,male,"Jessica Spotswood
",4.12,"
      Star Cursed
",Historical,384,2013,11148
211,3.78,female,"Tara Hudson
",3.91,"
      Elegy
",Fantasy,386,2013,11325
213,4.21,female,"Jennifer A. Nielsen
",4.23,"
      The Runaway King
",Fantasy,331,2013,11846
214,3.91,female,"Victoria Scott
",3.54,"
      The Collector
",Young,352,2013,13477
215,3.7,male,"Brenna Yovanoff
",3.73,"
      Paper Valentine
",Young,304,2013,14185
217,3.96,male,"Kasie West
",4.08,"
      Pivot Point
",Young,343,2013,15528
219,3.73,female,"Jennifer E. Smith
",3.68,"
      This Is What Happy Looks Like
",Young,404,2013,16278
220,3.98,male,"Rachel Hawkins
",3.95,"
      School Spirits
",Young,297,2013,16299
221,3.9,female,"Maureen Johnson
",3.88,"
      The Madness Underneath
",Young,290,2013,16355
223,3.32,female,"K.C. Hilton
",3.13,"
      My Name Is Rapunzel
",Romance,322,2013,16647
224,3.93,male,"Kendare Blake
",3.66,"
      Antigoddess
",Fantasy,333,2013,16795
225,3.92,female,"Holly Black
",3.85,"
      The Coldest Girl in Coldtown
",Young,419,2013,17114
227,3.95,male,"Anna Banks
",3.99,"
      Of Triton
",Fantasy,246,2013,17212
228,3.8,female,"Meg Cabot
",3.93,"
      Awaken
",Young,343,2013,17936
229,4.22,female,"Jennifer L. Armentrout
",4.48,"
      Sentinel
",Young,297,2013,18222
233,3.98,female,"Rae Carson
",4.21,"
      The Bitter Kingdom
",Fantasy,433,2013,20405
234,3.77,female,"Megan Shepherd
",3.68,"
      The Madman’s Daughter
",Young,420,2013,20424
235,4.47,male,"Shannon Messenger
",3.92,"
      Let the Sky Fall
",Young,404,2013,20677
236,4.04,female,"Rachel Vincent
",4.31,"
      With All My Soul
",Young,377,2013,21888
237,4.14,female,"Victoria Schwab
",4.01,"
      The Archived
",Fantasy,321,2013,22850
240,4.07,female,"Courtney Allison Moulton
",4.26,"
      Shadows in the Silence
",Horror,469,2013,26937
241,4.0,female,"Robin LaFevers
",4.14,"
      Dark Triumph
",Fantasy,385,2013,27226
242,4.0,male,"Sarah Dessen
",3.63,"
      The Moon and More
",Young,435,2013,28085
244,4.17,female,"Wendy Higgins
",4.27,"
      Sweet Peril
",Young,371,2013,29703
246,3.94,male,"Jodi Meadows
",3.96,"
      Asunder
",Fantasy,406,2013,30360
247,4.01,female,"A.G. Howard
",3.95,"
      Splintered
",Fantasy,400,2013,30766
248,3.91,female,"Aimee Carter
",3.97,"
      The Goddess Inheritance
",Fantasy,303,2013,32374
249,3.96,female,"Gayle Forman
",4.01,"
      Just One Day
",Young,369,2013,32811
250,4.05,female,"Ally Carter
",4.44,"
      United We Spy
",Young,296,2013,33019
251,4.26,female,"Cassandra Clare
",3.71,"
      Shadowhunters and Downworlders: A Mortal Instruments Reader
",Fantasy,198,2013,34746
252,3.9,male,"Brodi Ashton
",4.06,"
      Everbound
",Young,358,2013,45614
253,4.03,female,"Amy Plum
",4.21,"
      If I Should Die
",Young,405,2013,45693
254,4.23,female,"Leigh Bardugo
",4.07,"
      Siege and Storm
",Fantasy,435,2013,45787
255,4.09,female,"Kelley Armstrong
",4.12,"
      The Rising
",Young,406,2013,47498
256,4.41,female,"Sarah J. Maas
",4.47,"
      Crown of Midnight
",Fantasy,418,2013,48597
257,4.12,female,"Josephine Angelini
",4.24,"
      Goddess
",Fantasy,421,2013,48924
262,4.07,female,"Cynthia Hand
",4.14,"
      Boundless
",Young,448,2013,105807
264,3.87,male,"Alethea Kontis
",3.85,"
      Dearest
",Fantasy,320,2015,5153
265,3.6,female,"Kim Liggett
",3.58,"
      Blood and Salt
",Young,341,2015,5222
266,3.83,female,"Julie   Murphy
",3.9,"
      Dumplin'
",Young,371,2015,5323
267,3.81,female,"Courtney Alameda
",3.8,"
      Shutter
",Horror,384,2015,5515
269,3.58,male,"Lori  Goldstein
",3.55,"
      Becoming Jinn
",Fantasy,384,2015,5786
270,3.97,female,"Stacey  Lee
",3.98,"
      Under a Painted Sky
",Historical,384,2015,5829
271,3.92,female,"Elizabeth May
",4.16,"
      The Vanishing Throne
",Fantasy,362,2015,6245
272,4.08,female,"Morgan Rhodes
",3.97,"
      A Book of Spirits and Thieves
",Fantasy,359,2015,6333
274,3.84,female,"Sarah Ockler
",3.84,"
      The Summer of Chasing Mermaids
",Young,416,2015,6440
275,4.26,female,"Catherine Doyle
",4.03,"
      Vendetta
",Young,352,2015,6597
276,3.84,female,"Jessi Kirby
",3.97,"
      Things We Know by Heart
",Young,304,2015,7144
278,4.22,female,"Colleen Houck
",3.83,"
      Reawakened
",Fantasy,400,2015,7704
279,3.83,female,"Becky  Wallace
",3.83,"
      The Storyspinner
",Fantasy,432,2015,8556
280,3.91,female,"Sherry Thomas
",4.11,"
      The Immortal Heights
",Fantasy,432,2015,8641
281,3.69,female,"Nova Ren Suma
",3.73,"
      The Walls Around Us
",Young,319,2015,8712
282,3.5,female,"Rhiannon Thomas
",3.3,"
      A Wicked Thing
",Fantasy,337,2015,8889
283,3.79,female,"Carrie Ryan
",3.66,"
      Daughter of Deep Silence
",Young,375,2015,9012
284,3.93,male,"Emery Lord
",4.1,"
      The Start of Me and You
",Young,376,2015,9290
285,4.09,male,"Rachel Caine
",3.96,"
      Ink and Bone
",Fantasy,352,2015,9946
286,3.82,male,"David Levithan
",3.63,"
      Another Day
",Young,327,2015,10039
287,4.19,male,"Francesca Zappia
",4.08,"
      Made You Up
",Young,428,2015,10198
288,3.93,female,"Danielle L. Jensen
",3.89,"
      Hidden Huntress
",Fantasy,464,2015,10385
289,3.86,male,"Andrew  Smith
",4.27,"
      Stand-Off
",Young,448,2015,10509
290,3.96,female,"Heather Demetrios
",4.06,"
      I'll Meet You There
",Young,388,2015,10835
291,4.13,male,"Patrick Ness
",3.73,"
      The Rest of Us Just Live Here
",Young,317,2015,11035
292,3.82,female,"Virginia Boecker
",3.82,"
      The Witch Hunter
",Fantasy,362,2015,11281
293,3.92,female,"Maggie  Hall
",3.81,"
      The Conspiracy of Us
",Young,330,2015,11504
294,3.82,female,"Sara B. Larson
",3.95,"
      Ignite
",Fantasy,304,2014,11641
295,4.28,female,"Kresley Cole
",4.34,"
      Dead of Winter
",Young,336,2015,11955
296,3.92,female,"Courtney Summers
",3.84,"
      All the Rage
",Young,321,2015,12039
297,3.65,female,"Maria Dahvana Headley
",3.57,"
      Magonia
",Fantasy,309,2015,13551
298,3.65,female,"Melinda Salisbury
",3.47,"
      The Sin Eater’s Daughter
",Fantasy,336,2015,16826
299,3.94,female,"Amanda Hocking
",3.84,"
      Frostfire
",Fantasy,321,2015,18493
300,3.84,female,"Libba Bray
",4.13,"
      Lair of Dreams
",Young,613,2015,19955
301,3.75,female,"Melissa Grey
",3.74,"
      The Girl at Midnight
",Fantasy,357,2015,20496
302,3.77,female,"Paula Stokes
",3.57,"
      Liars, Inc.
",Young,362,2015,24331
304,3.99,female,"Jasmine Warga
",4.01,"
      My Heart and Other Black Holes
",Young,302,2015,24836
305,3.94,female,"Rachel Hartman
",3.74,"
      Shadow Scale
",Fantasy,602,2015,27339
306,3.91,female,"Sara Raasch
",3.77,"
      Ice Like Fire
",Fantasy,479,2015,39128
307,4.12,male,"Jennifer Niven
",4.18,"
      All the Bright Places
",Young,378,2015,48351
308,4.06,male,"Renée Ahdieh
",4.16,"
      The Wrath and the Dawn
",Fantasy,404,2015,51409
309,4.03,female,"Rainbow Rowell
",4.22,"
      Carry On
",Fantasy,522,2015,59136
310,4.1,female,"Marie Rutkoski
",4.15,"
      The Winner's Crime
",Fantasy,416,2015,70676
311,4.0,male,"Victoria Aveyard
",4.07,"
      Red Queen
",Fantasy,383,2015,187627
312,3.99,female,"Sidney Halston
",3.96,"
      Seeing Red
",Romance,386,2013,2000
313,4.07,female,"Christina Mercer
",4.25,"
      Honey Queen
",Young,270,2014,2016
314,4.01,female,"Gillian Flynn
",4.06,"
      Gone Girl
",Uncategorized,415,2012,2020
315,3.65,male,"Michelle Zink
",3.55,"
      Prophecy of the Sisters
",Fantasy,343,2009,2085
316,3.94,female,"Mira Grant
",3.86,"
      Feed
",Horror,599,2010,2100
317,4.02,female,"S.S. Segran
",3.85,"
      Aegis Rising
",Fantasy,448,2013,2186
318,4.74,male,"J.S. Burke
",4.82,"
      Dragon Lightning
",Fantasy,264,2016,2462
319,4.42,male,"James Fahy
",4.34,"
      Hell's Teeth
",Horror,236,2016,2467
320,4.08,male,"Kristin Cashore
",4.01,"
      Bitterblue
",Fantasy,576,2012,2631
321,3.72,female,"Carolyn Crane
",3.49,"
      Mind Games
",Fantasy,371,2010,2861
322,4.29,male,"Ilona Andrews
",4.03,"
      On the Edge
",Fantasy,340,2009,2914
323,3.94,female,"Stacia Kane
",3.63,"
      Unholy Ghosts
",Fantasy,339,2010,3002
324,4.14,male,"C.S. Lewis
",4.03,"
      The Magician's Nephew
",Fantasy,221,1955,3109
325,4.12,female,"Jacqueline Carey
",4.04,"
      Kushiel's Dart
",Fantasy,1015,2001,3117
326,3.97,female,"Bree Despain
",3.8,"
      The Dark Divine
",Young,372,2009,3243
327,3.89,male,"Justina Chen
",3.92,"
      North of Beautiful
",Young,373,2009,3557
329,4.3,male,"William  O'Brien
",4.42,"
      Peter: A Darkened Fairytale
",Fantasy,148,2011,4502
330,4.14,female,"Michelle Hodkin
",4.07,"
      The Unbecoming of Mara Dyer
",Young,456,2011,4552
331,3.68,female,"Catherine Fisher
",3.64,"
      Incarceron
",Fantasy,458,2007,5188
332,3.9,female,"Lucy Christopher
",3.93,"
      Stolen: A Letter to My Captor
",Young,304,2009,5773
333,4.01,female,"Mya Robarts
",4.01,"
      The V Girl
",Romance,341,2015,6682
334,4.0,female,"Lili St. Crow
",3.78,"
      Strange Angels
",Fantasy,293,2009,7490
335,3.85,female,"Sophie Jordan
",3.87,"
      Firelight
",Fantasy,323,2010,8084
336,3.95,male,"Shannon Hale
",4.02,"
      Princess Academy
",Fantasy,314,2005,8215
337,3.99,male,"Stephanie Perkins
",4.03,"
      Anna and the French Kiss
",Young,372,2010,11328
338,4.12,female,"Jamie McGuire
",4.13,"
      Beautiful Disaster
",Romance,319,2011,11949
339,3.92,female,"Gail Carson Levine
",3.98,"
      Ella Enchanted
",Fantasy,232,1997,15799
340,3.98,female,"Maggie Stiefvater
",3.77,"
      Shiver
",Young,390,2009,18586
341,4.09,male,"Pittacus Lore
",3.94,"
      I Am Number Four
",Young,452,2010,25286
342,4.21,female,"Jeaniene Frost
",4.28,"
      This Side of the Grave
",Horror,357,2011,1323
343,3.86,male,"Tim Powers
",3.79,"
      The Stress of Her Regard
",Fantasy,470,1989,1369
344,4.05,male,"Theodore Sturgeon
",3.89,"
      Some of Your Blood
",Horror,192,1961,1409
345,3.87,female,"Tanya Huff
",3.78,"
      Smoke and Shadows
",Fantasy,396,2004,1432
346,4.07,female,"Michelle Rowen
",3.68,"
      Bitten & Smitten
",Horror,400,2006,1451
347,3.85,male,"Ray Garton
",3.87,"
      Live Girls
",Horror,337,1987,1486
348,3.99,female,"Laurell K. Hamilton
",4.16,"
      Circus of the Damned
",Fantasy,320,1995,1509
349,3.81,male,"Fred Saberhagen
",3.77,"
      The Dracula Tape
",Horror,288,1975,1606
351,4.04,female,"Gerry Bartlett
",3.81,"
      Real Vampires Have Curves
",Horror,330,2007,1719
353,3.89,female,"Tanith Lee
",3.73,"
      Dark Dance
",Horror,409,1992,1751
354,4.19,male,"Rebecca Zanetti
",3.94,"
      Fated
",Fantasy,299,2011,1789
355,4.07,female,"Joey W. Hill
",3.77,"
      The Vampire Queen's Servant
",Horror,373,2007,1803
356,3.9,male,"John Skipp
",3.84,"
      The Light at the End
",Horror,370,1986,1825
357,4.23,female,"Sherrilyn Kenyon
",4.22,"
      Night Pleasures
",Fantasy,309,2002,1878
358,4.01,male,"Blake Crouch
",3.86,"
      Draculas
",Horror,326,2010,1946
359,3.97,female,"L.A. Banks
",3.44,"
      Minion
",Horror,286,2003,2018
360,4.02,male,"Hideyuki Kikuchi
",3.98,"
      Vampire Hunter D
",Fantasy,238,1983,2022
361,4.23,female,"Elizabeth   Hunter
",4.04,"
      A Hidden Fire
",Fantasy,320,2011,2196
362,3.73,female,"Suzy McKee Charnas
",3.57,"
      The Vampire Tapestry
",Horror,285,1980,2288
363,4.08,female,"Nora Roberts
",4.14,"
      Morrigan's Cross
",Romance,321,2006,2320
364,4.14,female,"Faith Hunter
",3.9,"
      Skinwalker
",Fantasy,320,2009,2325
365,3.8,male,"Richard Laymon
",3.85,"
      The Traveling Vampire Show
",Horror,391,2000,2488
366,3.72,male,"David Wellington
",3.62,"
      13 Bullets
",Horror,323,2007,2693
367,3.84,female,"Chelsea Quinn Yarbro
",3.75,"
      Hôtel Transylvania
",Horror,375,1978,2889
368,4.01,female,"Jocelynn Drake
",3.67,"
      Nightwalker
",Fantasy,370,2008,2899
369,4.07,male,"John Steakley
",3.76,"
      Vampire$
",Horror,368,1990,3019
370,4.07,male,"Dan Simmons
",3.71,"
      Children of the Night
",Horror,464,1992,3225
371,3.94,male,"Barbara Hambly
",3.83,"
      Those Who Hunt the Night
",Fantasy,350,1988,3401
372,3.94,female,"Nancy A. Collins
",3.91,"
      Sunglasses After Dark
",Horror,192,1989,3567
373,3.94,female,"Lynn Viehl
",3.77,"
      If Angels Burn
",Romance,291,2005,3570
374,3.91,male,"Barb Hendee
",3.8,"
      Dhampir
",Fantasy,376,2003,3605
375,4.13,male,"D.B. Reynolds
",3.95,"
      Raphael
",Horror,248,2009,3659
376,3.96,male,"Jennifer Rardin
",3.71,"
      Once Bitten, Twice Shy
",Fantasy,308,2007,3692
377,4.05,male,"Justin Cronin
",4.04,"
      The Passage
",Horror,766,2010,3978
378,3.84,female,"Jeanne Kalogridis
",3.82,"
      Covenant with the Vampire
",Horror,384,1994,3997
379,3.98,male,"F. Paul Wilson
",3.99,"
      The Keep
",Horror,403,1981,4032
